"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","impdiff","impenv","impfree","impfun","imprich","impsafe","imptrad","ipadvnt","ipbhprp","ipcrtiv","ipeqopt","ipfrule","ipgdtim","iphlppl","iplylfr","ipmodst","iprspot","ipshabt","ipstrgv","ipsuces","ipudrst"
"ESS1e06_6",1,"6.6","01.12.2018",1,"AT",0.9452,0.9409328,0.2714875,,,,,3,2,1,1,3,2,1,3,4,2,1,1,1,1,2,2,4,3,2,3,3
"ESS1e06_6",1,"6.6","01.12.2018",2,"AT",0.4726,0.4704664,0.2714875,,,,,1,1,1,3,3,4,6,1,4,1,1,6,1,4,3,5,4,2,3,1,3
"ESS1e06_6",1,"6.6","01.12.2018",3,"AT",0.9452,1.3921549,0.2714875,,,,,3,2,3,5,3,3,2,4,2,2,2,2,2,2,2,3,3,2,2,2,2
"ESS1e06_6",1,"6.6","01.12.2018",4,"AT",0.9452,1.3821629,0.2714875,,,,,3,1,3,5,5,2,5,6,2,1,2,3,5,4,2,5,4,4,3,4,1
"ESS1e06_6",1,"6.6","01.12.2018",6,"AT",1.8905,1.4377663,0.2714875,,,,,4,1,1,2,5,4,3,4,6,3,1,6,2,1,1,5,5,3,4,4,1
"ESS1e06_6",1,"6.6","01.12.2018",7,"AT",0.9452,1.3921549,0.2714875,,,,,3,2,1,2,3,2,4,2,2,3,1,5,1,3,1,5,5,5,3,5,5
"ESS1e06_6",1,"6.6","01.12.2018",8,"AT",0.4726,0.5854736,0.2714875,,,,,4,1,2,4,3,2,3,5,3,4,2,4,2,3,3,1,5,3,2,3,2
"ESS1e06_6",1,"6.6","01.12.2018",10,"AT",1.4178,1.1056827,0.2714875,,,,,4,2,2,3,4,2,4,5,5,3,1,5,3,1,1,3,3,4,2,4,1
"ESS1e06_6",1,"6.6","01.12.2018",12,"AT",3.3083,3.2933643,0.2714875,,,,,2,2,1,2,5,5,4,2,2,2,2,2,1,1,1,3,5,4,4,3,1
"ESS1e06_6",1,"6.6","01.12.2018",14,"AT",1.9201,1.398274,0.2714875,,,,,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,1,4,1,1,1,1
