"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","impenv","imprich","ipeqopt","iphlppl","ipstrgv"
"ESS4e04_5",4,"4.5","01.12.2018",11,"BG",0.8285,1.1153122,0.29671878,,,,,1,8,2,1,1
"ESS4e04_5",4,"4.5","01.12.2018",13,"BG",0.4143,0.5577234,0.29671878,,,,,1,4,3,1,2
"ESS4e04_5",4,"4.5","01.12.2018",15,"BG",1.2428,1.7348771,0.29671878,,,,,1,3,1,3,1
"ESS4e04_5",4,"4.5","01.12.2018",16,"BG",1.2428,1.6889316,0.29671878,,,,,2,3,2,2,2
"ESS4e04_5",4,"4.5","01.12.2018",17,"BG",0.4143,0.5577234,0.29671878,,,,,2,6,3,2,1
"ESS4e04_5",4,"4.5","01.12.2018",18,"BG",0.8285,0.72387654,0.29671878,,,,,1,4,2,2,1
"ESS4e04_5",4,"4.5","01.12.2018",21,"BG",1.2212,1.05546,0.29671878,,,,,1,1,1,1,1
"ESS4e04_5",4,"4.5","01.12.2018",22,"BG",2.4423,2.6473544,0.29671878,,,,,1,3,3,1,1
"ESS4e04_5",4,"4.5","01.12.2018",24,"BG",1.8317,2.4658027,0.29671878,,,,,1,5,4,1,1
"ESS4e04_5",4,"4.5","01.12.2018",25,"BG",1.8317,2.5569477,0.29671878,,,,,1,3,1,1,1
"ESS4e04_5",4,"4.5","01.12.2018",26,"BG",1.2212,1.5125425,0.29671878,,,,,1,3,1,1,1
"ESS4e04_5",4,"4.5","01.12.2018",28,"BG",3.0529,4.002684,0.29671878,,,,,1,3,2,2,1
"ESS4e04_5",4,"4.5","01.12.2018",31,"BG",0.8153,0.6844393,0.29671878,,,,,4,1,2,2,1
"ESS4e04_5",4,"4.5","01.12.2018",32,"BG",0.8153,0.6844393,0.29671878,,,,,3,3,2,3,2
"ESS4e04_5",4,"4.5","01.12.2018",33,"BG",0.8153,0.6844393,0.29671878,,,,,2,6,1,1,2
"ESS4e04_5",4,"4.5","01.12.2018",34,"BG",0.4076,0.40100476,0.29671878,,,,,1,4,1,2,2
"ESS4e04_5",4,"4.5","01.12.2018",36,"BG",1.6305,2.8316503,0.29671878,,,,,2,1,1,3,2
"ESS4e04_5",4,"4.5","01.12.2018",37,"BG",0.4076,0.35612804,0.29671878,,,,,1,3,1,1,1
"ESS4e04_5",4,"4.5","01.12.2018",38,"BG",0.8153,1.1079707,0.29671878,,,,,2,3,2,3,2
"ESS4e04_5",4,"4.5","01.12.2018",42,"BG",0.4044,0.43835324,0.29671878,,,,,1,5,3,3,1
"ESS4e04_5",4,"4.5","01.12.2018",43,"BG",1.6178,1.5916228,0.29671878,,,,,1,2,2,2,2
"ESS4e04_5",4,"4.5","01.12.2018",45,"BG",0.4044,0.36817282,0.29671878,,,,,3,6,1,2,1
"ESS4e04_5",4,"4.5","01.12.2018",46,"BG",0.4044,0.3661796,0.29671878,,,,,1,3,1,1,1
"ESS4e04_5",4,"4.5","01.12.2018",47,"BG",1.6178,1.4648995,0.29671878,,,,,2,6,2,2,2
